# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   3.2038652992e-02,   2.6664074560e+00,   9.0040000000e-01
   2.9133019507e-02,   2.1019600490e+00,   8.9900000000e-01
   2.0248576669e-02,   1.9491353920e+00,   8.9440000000e-01
   3.0280509995e-02,   1.9726134490e+00,   8.9220000000e-01
   4.0104463872e-02,   1.9428078530e+00,   9.0340000000e-01
   5.2645784981e-02,   1.9618661950e+00,   9.0080000000e-01
   6.0423966679e-02,   1.9697935400e+00,   8.9780000000e-01
   1.0313033571e-01,   1.9651872580e+00,   9.0240000000e-01
   1.0406661115e-01,   1.9590875970e+00,   8.9760000000e-01
   2.0154904039e-01,   1.9530340340e+00,   8.8800000000e-01
   2.0992607273e-01,   1.9498468710e+00,   9.0080000000e-01
   1.2458485512e-01,   1.9673345560e+00,   8.9340000000e-01
   2.2946383767e-01,   1.9510108700e+00,   8.9480000000e-01
   2.6315337700e-01,   1.9679182090e+00,   8.9540000000e-01
   2.7436797829e-01,   1.9440487940e+00,   8.9960000000e-01
   2.2391846457e-01,   1.9604351240e+00,   8.9840000000e-01
   3.2010795613e-01,   1.9740927450e+00,   9.0220000000e-01
   3.2186927364e-01,   1.9507441730e+00,   8.9920000000e-01
   4.0081910247e-01,   1.9552695130e+00,   8.9860000000e-01
   3.2969367981e-01,   1.9544362500e+00,   8.9880000000e-01
   4.1772522890e-01,   1.9597000150e+00,   9.0040000000e-01
   4.3505125822e-01,   1.9666041670e+00,   9.0480000000e-01
   4.6766924089e-01,   1.9374658850e+00,   8.9760000000e-01
   5.0021285289e-01,   1.9602206370e+00,   9.0300000000e-01
   4.7109658890e-01,   1.9756080460e+00,   8.9020000000e-01
   4.3072522550e-01,   1.9500184460e+00,   8.9560000000e-01
   5.0372125584e-01,   1.9640121920e+00,   9.0780000000e-01
   5.0725429953e-01,   2.0230478690e+00,   9.0360000000e-01
   5.2382315206e-01,   2.0426368230e+00,   9.0100000000e-01
   5.1322466727e-01,   1.9468651880e+00,   9.0260000000e-01
   5.4858510049e-01,   1.9576385930e+00,   9.0160000000e-01
   5.3605754901e-01,   1.9507987240e+00,   8.9920000000e-01
   5.2264718777e-01,   1.9529773490e+00,   8.9720000000e-01
   5.6278092636e-01,   1.9458325670e+00,   8.9300000000e-01
   5.1743332196e-01,   2.0197998630e+00,   8.9800000000e-01
   5.2530295028e-01,   1.9379495520e+00,   9.0040000000e-01
   4.8214990049e-01,   1.9653260810e+00,   9.0760000000e-01
   5.1356396503e-01,   1.9555506080e+00,   8.9380000000e-01
   4.8013687933e-01,   1.9552689430e+00,   8.9760000000e-01
   5.1110228314e-01,   1.9643670830e+00,   8.9120000000e-01
   5.3591878618e-01,   1.9493569490e+00,   8.9800000000e-01
   5.0256949803e-01,   1.9415224720e+00,   8.9540000000e-01
   5.5716881551e-01,   1.9663497710e+00,   9.0280000000e-01
   4.9291951078e-01,   1.9436278900e+00,   8.9540000000e-01
   5.2114791701e-01,   1.9671099300e+00,   9.0180000000e-01
   5.7135565238e-01,   1.9529339130e+00,   9.0040000000e-01
   4.9766982623e-01,   1.9514073390e+00,   8.9680000000e-01
   5.7984953927e-01,   1.9537151210e+00,   8.9860000000e-01
   5.5778843566e-01,   1.9547111540e+00,   9.0200000000e-01
   5.6453099332e-01,   1.9695163910e+00,   9.0140000000e-01
   5.1257528349e-01,   1.9676963130e+00,   8.9480000000e-01
   4.3260094704e-01,   1.9568624730e+00,   9.0260000000e-01
   4.7053133212e-01,   1.9563353730e+00,   8.9420000000e-01
   4.7894965664e-01,   1.9384893550e+00,   9.0200000000e-01
   4.9570105123e-01,   2.0672170010e+00,   9.0840000000e-01
   4.5387623486e-01,   1.9941759600e+00,   9.0040000000e-01
   5.1542693487e-01,   1.9583397050e+00,   8.9560000000e-01
   5.3181337043e-01,   1.9650654710e+00,   9.0260000000e-01
   4.9185080392e-01,   1.9436606000e+00,   8.9300000000e-01
   4.0260788955e-01,   1.9423913240e+00,   9.0540000000e-01
   4.1361750011e-01,   1.9732085060e+00,   8.9760000000e-01
