#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 2.413640655872e-01, 1.173307626681e+00, 1.083193254540e-03, 4.735099329788e-01, 4.090516338620e-01, 3.093808514000e+00, 8.081490000000e-01,            1000000
 3.959613622592e+00, 2.000000000000e+00, 5.000000000000e+00,-1.765235840569e+03, 3.397035057738e+06, 1.843104733253e+00, 6.510480246874e+01, 1.890337622838e+03, 3.107823459000e+00, 2.893600000000e-02,            1000000
 3.999999612897e+00, 1.000004686569e+00, 5.000000000000e+00, 2.473006716144e-01, 1.358327873948e+00, 1.165473240340e-03, 4.774320698763e-01, 4.144452054342e-01, 2.818479888000e+00, 8.074220000000e-01,            1000000
 3.972861746570e+00, 1.671963921395e+00, 5.000000000000e+00,-3.288502104751e+02, 8.206287883508e+04, 2.864661914347e-01, 3.271287941375e+01, 3.895461179145e+02, 2.066475929000e+00, 2.103160000000e-01,            1000000
 3.963660134202e+00, 1.899804545703e+00, 5.000000000000e+00,-5.264038682981e+02, 1.824863610367e+04, 1.350875127600e-01, 3.832360088302e+01, 5.975746443512e+02, 2.667510200000e+00, 0.000000000000e+00,            1000000
 3.960819680345e+00, 1.970136869447e+00, 5.000000000000e+00,-1.347706807025e+03, 2.012996502709e+05, 4.486642957389e-01, 6.901081073186e+01, 1.480312565055e+03, 2.592317667000e+00, 0.000000000000e+00,            1000000
 3.959959602291e+00, 1.991433215442e+00, 5.000000000000e+00,-2.449824385622e+03, 6.817110494260e+05, 8.256579494113e-01, 9.304977888795e+01, 2.629605713827e+03, 2.814423897000e+00, 0.000000000000e+00,            1000000
 3.960059644435e+00, 1.989068631021e+00, 5.000000000000e+00,-1.897586253077e+03, 1.546279536941e+06, 1.243494888185e+00, 7.605764474008e+01, 2.043974737409e+03, 3.110660132000e+00, 0.000000000000e+00,            1000000
 3.959962391991e+00, 1.991367278414e+00, 5.000000000000e+00,-2.254000368691e+03, 2.665420057473e+05, 5.162770629685e-01, 9.100511016613e+01, 2.429510980706e+03, 3.220670904000e+00, 0.000000000000e+00,            1000000
 3.959959630188e+00, 1.991432556071e+00, 5.000000000000e+00,-1.710262653844e+03, 6.220532454803e+05, 7.887035219145e-01, 7.035632496743e+01, 1.844574215953e+03, 2.929338460000e+00, 2.977800000000e-02,            1000000
 3.959306305499e+00, 0.000000000000e+00, 5.000000000000e+00, 1.252258388266e+17, 3.556433840048e+39, 5.963584358461e+16, 2.273125468343e-01, 2.274051394820e-01, 2.721478341000e+00, 9.551150000000e-01,            1000000
 3.959953069323e+00, 1.971518883287e+00, 5.000000000000e+00,-2.484794734547e+03, 7.158991512291e+05, 7.723876138470e-01, 9.056995573258e+01, 2.659564003356e+03, 3.513322381000e+00, 2.916916666667e-02,            1200000
 3.951462804103e+00, 1.739642043494e+00, 5.000000000000e+00,-2.737350099063e+02, 8.582372835310e+03, 8.456936420926e-02, 2.625544200393e+01, 3.223268752030e+02, 3.195299151000e+00, 1.399658333333e-01,            1200000
 3.958022482348e+00, 1.918792802860e+00, 5.000000000000e+00,-9.336397000277e+02, 2.401665167735e+05, 4.473687114427e-01, 5.339155593898e+01, 1.034626236825e+03, 3.185519971000e+00, 0.000000000000e+00,            1200000
 3.959699463218e+00, 1.964592670648e+00, 5.000000000000e+00,-1.530936296956e+03, 5.114213349077e+05, 6.528280368952e-01, 6.451846745169e+01, 1.654563536548e+03, 3.740175804000e+00, 5.968000000000e-02,            1200000
 3.959942141062e+00, 1.971220422573e+00, 5.000000000000e+00,-1.556718219590e+03, 1.781041752134e+06, 1.218278071752e+00, 6.271843551096e+01, 1.676649847394e+03, 3.644171476000e+00, 1.750808333333e-01,            1200000
 3.959952960041e+00, 1.971515898680e+00, 5.000000000000e+00,-1.740601493356e+03, 6.204090545921e+05, 7.190323674866e-01, 7.421392732671e+01, 1.882868918978e+03, 3.835703096000e+00, 0.000000000000e+00,            1200000
 3.953628593966e+00, 0.000000000000e+00, 5.000000000000e+00, 4.851860168257e+16, 8.585194988726e+38, 2.674757775439e+16, 2.276389849501e-01, 2.277340853062e-01, 3.698885612000e+00, 9.551491666667e-01,            1200000
 3.959889824570e+00, 1.951803694454e+00, 5.000000000000e+00,-1.576727593659e+03, 8.926671208996e+05, 7.873421891700e-01, 7.264064661634e+01, 1.715984892762e+03, 4.582684138000e+00, 2.947500000000e-02,            1440000
 3.959948041683e+00, 1.969951624710e+00, 5.000000000000e+00,-1.463425123826e+03, 6.746769262628e+05, 6.844893302587e-01, 6.591089104148e+01, 1.590420678460e+03, 4.235610930000e+00, 0.000000000000e+00,            1440000
