#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 2.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 1.528262279668e-01, 7.175537192589e-03, 8.470854261873e-05, 4.131359630000e-01, 9.907320000000e-01
 2.072894358526e+00, 0.000000000000e+00, 5.000000000000e+00, 1.469350278749e-01, 6.767400501089e-03, 8.226421154481e-05, 5.159320720000e-01, 9.913280000000e-01
 2.121359708876e+00, 0.000000000000e+00, 5.000000000000e+00, 1.441015607193e-01, 6.320404312804e-03, 7.950097051485e-05, 4.953047840000e-01, 9.915290000000e-01
 2.815129286450e+00, 0.000000000000e+00, 5.000000000000e+00, 1.098319708076e-01, 3.545108118634e-03, 5.954081053054e-05, 4.775947920000e-01, 9.943770000000e-01
 3.636383801173e+00, 0.000000000000e+00, 5.000000000000e+00, 8.673244853552e-02, 2.021015887694e-03, 4.495571029018e-05, 4.785792880000e-01, 9.963080000000e-01
 4.782335362906e+00, 0.000000000000e+00, 5.000000000000e+00, 6.833823540028e-02, 1.080560360862e-03, 3.287187796372e-05, 4.107068390000e-01, 9.974310000000e-01
 6.221943582449e+00, 0.000000000000e+00, 5.000000000000e+00, 5.548129017227e-02, 5.573988257855e-04, 2.360929532590e-05, 4.048183210000e-01, 9.983370000000e-01
 8.006192124478e+00, 0.000000000000e+00, 5.000000000000e+00, 4.699824192945e-02, 2.567462994456e-04, 1.602330488525e-05, 4.689780610000e-01, 9.988390000000e-01
 9.951175180161e+00, 0.000000000000e+00, 5.000000000000e+00, 4.171532386132e-02, 1.146872763610e-04, 1.070921455388e-05, 4.244346350000e-01, 9.991680000000e-01
 1.229111145242e+01, 0.000000000000e+00, 5.000000000000e+00, 3.877797956554e-02, 3.391362399927e-05, 5.823540503789e-06, 4.035530160000e-01, 9.993830000000e-01
 1.414747854093e+01, 0.000000000000e+00, 5.000000000000e+00, 3.775772954680e-02, 7.143593593938e-06, 2.672750192954e-06, 4.248473260000e-01, 9.995120000000e-01
 1.536334708915e+01, 0.000000000000e+00, 5.000000000000e+00, 3.751448712737e-02, 7.949096174542e-07, 8.915770395508e-07, 4.547705370000e-01, 9.995670000000e-01
 1.591284025509e+01, 0.000000000000e+00, 5.000000000000e+00, 3.750147836885e-02, 1.395993165472e-08, 1.181521546766e-07, 4.085339070000e-01, 9.995860000000e-01
 1.599218499181e+01, 0.000000000000e+00, 5.000000000000e+00, 3.750021735855e-02, 1.061895246526e-10, 1.030483016127e-08, 4.284864160000e-01, 9.996070000000e-01
 1.599960170533e+01, 0.000000000000e+00, 5.000000000000e+00, 3.750020539105e-02, 1.757378596322e-13, 4.192109965544e-10, 3.995751930000e-01, 9.995780000000e-01
 1.599991840452e+01, 0.000000000000e+00, 5.000000000000e+00, 3.750020154215e-02, 3.579135952764e-17, 5.982588029243e-12, 4.397601120000e-01, 9.995840000000e-01
