#              p[0],               p[1],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e-01, 2.800000000000e+00, 2.734240179126e+01, 2.621806569509e+00, 1.619199360644e-02, 1.343041990000e-01, 9.308000000000e-01
 1.000000000000e+00, 2.862683544407e+00, 3.459638960826e+01, 4.161030800673e+01, 6.450605243443e-02, 1.442261590000e-01, 7.695000000000e-01
 5.175937152809e-01, 2.812285318123e+00, 2.680668949012e+01, 4.368211057349e-01, 6.609244326963e-03, 1.640861100000e-01, 9.001000000000e-01
 4.862313047552e-01, 2.810384860323e+00, 2.671390532037e+01, 1.976950005544e-01, 4.446290595028e-03, 1.384378230000e-01, 9.139000000000e-01
 4.815450328125e-01, 2.812127173124e+00, 2.667702013767e+01, 1.922386171121e-01, 4.384502447395e-03, 1.345741990000e-01, 9.111000000000e-01
 4.809585508508e-01, 2.814264521610e+00, 2.671166656428e+01, 2.129041202925e-01, 4.614153446652e-03, 1.459514420000e-01, 9.055000000000e-01
 4.815391679928e-01, 2.812148546609e+00, 2.674058595037e+01, 3.216435503982e-01, 5.671362714535e-03, 1.381415900000e-01, 9.017000000000e-01
 4.815449741643e-01, 2.812127386859e+00, 2.663908819564e+01, 1.836487406747e-01, 4.285425774351e-03, 1.362826830000e-01, 9.134000000000e-01
 3.944628337621e-01, 3.024944121043e+00, 2.685533813133e+01, 1.460171115795e+00, 1.208375403505e-02, 1.523000090000e-01, 9.250000000000e-01
 4.581890829507e-01, 2.869205961973e+00, 2.665187778369e+01, 2.571875801890e-01, 5.071366484381e-03, 1.367905960000e-01, 9.211000000000e-01
 4.773095483791e-01, 2.822478183007e+00, 2.668098672912e+01, 2.051774027942e-01, 4.529651231544e-03, 1.355670250000e-01, 9.123000000000e-01
 4.815026199064e-01, 2.812230894820e+00, 2.670461970898e+01, 3.176366658788e-01, 5.635926417891e-03, 1.376464450000e-01, 9.092000000000e-01
 4.815445506217e-01, 2.812128421938e+00, 2.666466006956e+01, 1.809754534945e-01, 4.254120984345e-03, 1.453605910000e-01, 9.132000000000e-01
 4.815449699288e-01, 2.812127397209e+00, 2.667485727888e+01, 1.937812366298e-01, 4.402059025386e-03, 1.366248710000e-01, 9.121000000000e-01
 4.815449741219e-01, 2.812127386962e+00, 2.670440221972e+01, 1.922071819880e-01, 4.384143952792e-03, 1.437636820000e-01, 9.095000000000e-01
 4.815449741638e-01, 2.812127386860e+00, 2.663160803020e+01, 1.927280547355e-01, 4.390080349327e-03, 1.368042810000e-01, 9.139000000000e-01
