#              p[0],               p[1],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e-01, 2.750000000000e+00, 2.465821230929e+00, 2.817673960035e-01, 5.308176673807e-04, 1.583925700000e-01, 9.530610000000e-01
 1.000000000000e+00, 2.802536327308e+00, 3.001830152624e+00, 2.775166628876e+00, 1.665883137821e-03, 1.556536690000e-01, 8.125180000000e-01
 5.317313469826e-01, 2.761534468603e+00, 2.403332090408e+00, 1.271863999610e-02, 1.127769479819e-04, 1.543616690000e-01, 9.277160000000e-01
 5.124357310125e-01, 2.759642406675e+00, 2.400435810317e+00, 1.001420405944e-03, 3.164522722219e-05, 1.793664790000e-01, 9.313690000000e-01
 5.036578863936e-01, 2.759195345924e+00, 2.400079795231e+00, 2.691393187398e-04, 1.640546612382e-05, 1.715791750000e-01, 9.332540000000e-01
 5.043067965088e-01, 2.759558399793e+00, 2.400051803429e+00, 2.141960637557e-04, 1.463543862533e-05, 1.562442680000e-01, 9.326800000000e-01
 5.043613552577e-01, 2.759993200028e+00, 2.400053896189e+00, 2.023953894605e-04, 1.422657335624e-05, 1.494534590000e-01, 9.325290000000e-01
 5.043105460833e-01, 2.759588281634e+00, 2.400016656679e+00, 2.122272242868e-04, 1.456802060291e-05, 1.511981500000e-01, 9.331380000000e-01
 5.041769367046e-01, 2.763097164566e+00, 2.400034720587e+00, 1.646282650277e-04, 1.283075465542e-05, 1.507891500000e-01, 9.326730000000e-01
 5.043015526691e-01, 2.759824468928e+00, 2.400044724779e+00, 2.086725369726e-04, 1.444550230946e-05, 1.502945510000e-01, 9.330780000000e-01
 5.043104561491e-01, 2.759590643507e+00, 2.400040588616e+00, 2.118379323638e-04, 1.455465328903e-05, 1.525005480000e-01, 9.327570000000e-01
 5.043105451839e-01, 2.759588305253e+00, 2.400060238953e+00, 2.123083278390e-04, 1.457080395308e-05, 1.578318460000e-01, 9.327310000000e-01
 5.043105460743e-01, 2.759588281870e+00, 2.400041241340e+00, 2.112986896187e-04, 1.453611673105e-05, 1.503199490000e-01, 9.329450000000e-01
 5.043105460832e-01, 2.759588281637e+00, 2.400080917922e+00, 2.121955743319e-04, 1.456693428048e-05, 1.508779490000e-01, 9.329800000000e-01
 5.043105460833e-01, 2.759588281634e+00, 2.400076010916e+00, 2.126681566876e-04, 1.458314632333e-05, 1.519101480000e-01, 9.330890000000e-01
 5.036205470696e-01, 2.762590583678e+00, 2.400069184063e+00, 2.042271926203e-04, 1.429080797647e-05, 1.543356470000e-01, 9.326420000000e-01
 5.042922652751e-01, 2.759667824513e+00, 2.400069004420e+00, 2.116574573815e-04, 1.454845206135e-05, 1.623482440000e-01, 9.328430000000e-01
 5.043103632752e-01, 2.759589077063e+00, 2.400115854279e+00, 2.129760986169e-04, 1.459370064846e-05, 1.547906450000e-01, 9.331290000000e-01
 5.043105442552e-01, 2.759588289588e+00, 2.400122901866e+00, 2.132575423460e-04, 1.460334010924e-05, 1.511562460000e-01, 9.330210000000e-01
 5.043105460650e-01, 2.759588281714e+00, 2.400115436140e+00, 2.137034720974e-04, 1.461860020992e-05, 1.528275460000e-01, 9.329420000000e-01
 5.043105460831e-01, 2.759588281635e+00, 2.400101638891e+00, 2.111764026034e-04, 1.453190980578e-05, 1.641475420000e-01, 9.324070000000e-01
 5.043105460833e-01, 2.759588281634e+00, 2.400070806393e+00, 2.125323075436e-04, 1.457848783460e-05, 1.579542440000e-01, 9.329330000000e-01
 5.043105460833e-01, 2.759588281634e+00, 2.400058079924e+00, 2.124034271392e-04, 1.457406693889e-05, 1.606015430000e-01, 9.326890000000e-01
 5.043105460833e-01, 2.759588281634e+00, 2.400082098828e+00, 2.123534846426e-04, 1.457235343528e-05, 1.660281390000e-01, 9.329210000000e-01
 5.043105460833e-01, 2.759588281634e+00, 2.400087644172e+00, 2.132510780072e-04, 1.460311877673e-05, 1.497446450000e-01, 9.334770000000e-01
 5.043105460833e-01, 2.759588281634e+00, 2.400037613579e+00, 2.120581753415e-04, 1.456221739096e-05, 1.555640430000e-01, 9.330710000000e-01
