#              p[0],               p[1],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e-01, 2.800000000000e+00, 2.723892933447e+01, 2.457313092976e+00, 1.567581925443e-02, 1.358564970000e-01, 9.320000000000e-01
 1.000000000000e+00, 2.858802472825e+00, 3.474114240058e+01, 3.581437489635e+01, 5.984511249580e-02, 1.405375970000e-01, 7.811000000000e-01
 5.018503338902e-01, 2.809981752485e+00, 2.671070710618e+01, 2.917380279837e-01, 5.401277885684e-03, 1.664349570000e-01, 9.043000000000e-01
 4.820478461550e-01, 2.809536807854e+00, 2.668317757540e+01, 2.120986368801e-01, 4.605416776798e-03, 1.381703560000e-01, 9.142000000000e-01
 4.804223986712e-01, 2.811229562258e+00, 2.666321487569e+01, 1.776772927156e-01, 4.215178438875e-03, 1.387586550000e-01, 9.096000000000e-01
 4.802598539228e-01, 2.811398837698e+00, 2.664572094276e+01, 2.063327438073e-01, 4.542386419134e-03, 1.388873550000e-01, 9.108000000000e-01
 4.766596812402e-01, 2.818582937367e+00, 2.665548591314e+01, 1.990765990537e-01, 4.461800074563e-03, 1.360917560000e-01, 9.150000000000e-01
 4.801574202788e-01, 2.811603242757e+00, 2.666349891890e+01, 2.238555650297e-01, 4.731337707559e-03, 1.374739550000e-01, 9.122000000000e-01
 4.802588295864e-01, 2.811400881749e+00, 2.667241546404e+01, 2.333367774073e-01, 4.830494564817e-03, 1.348129550000e-01, 9.186000000000e-01
 4.802598436794e-01, 2.811398858139e+00, 2.672271115930e+01, 2.437809453859e-01, 4.937417800692e-03, 1.343927560000e-01, 9.082000000000e-01
 4.802598538204e-01, 2.811398837903e+00, 2.665552829107e+01, 1.886220456329e-01, 4.343063960304e-03, 1.415888530000e-01, 9.099000000000e-01
 4.802598539218e-01, 2.811398837700e+00, 2.661440652672e+01, 1.427809516308e+00, 1.194909836058e-02, 1.487933500000e-01, 9.116000000000e-01
 4.800102162520e-01, 2.817179203447e+00, 2.667838834021e+01, 1.841634534033e-01, 4.291426958522e-03, 1.382825540000e-01, 9.092000000000e-01
 4.802573575451e-01, 2.811456641358e+00, 2.672738038119e+01, 2.541261744272e-01, 5.041092881779e-03, 1.349040550000e-01, 9.080000000000e-01
 4.802598289580e-01, 2.811399415737e+00, 2.670518200924e+01, 2.481734236243e-01, 4.981700749988e-03, 1.499439500000e-01, 9.104000000000e-01
 4.802598536721e-01, 2.811398843481e+00, 2.665684238095e+01, 1.851224993665e-01, 4.302586424077e-03, 1.457368500000e-01, 9.165000000000e-01
 4.802598539193e-01, 2.811398837758e+00, 2.667513968651e+01, 1.899519063904e-01, 4.358347237089e-03, 1.389575520000e-01, 9.138000000000e-01
 1.000000000000e+00, 2.955889950162e+00, 3.510598797311e+01, 3.778842643655e+01, 6.147229167401e-02, 1.370703530000e-01, 7.714000000000e-01
 4.890764454367e-01, 2.813849907000e+00, 2.666005999205e+01, 1.811643799311e-01, 4.256340915988e-03, 1.424261510000e-01, 9.131000000000e-01
 4.805243437441e-01, 2.811472367577e+00, 2.664665758870e+01, 1.910287801360e-01, 4.370683929729e-03, 1.366253530000e-01, 9.161000000000e-01
 4.802624988200e-01, 2.811399572999e+00, 2.669781892000e+01, 2.312096079542e-01, 4.808426020583e-03, 1.423312500000e-01, 9.032000000000e-01
 4.802598803708e-01, 2.811398845053e+00, 2.668151982436e+01, 2.012650061040e-01, 4.486256859610e-03, 1.355623520000e-01, 9.149000000000e-01
 4.802598541863e-01, 2.811398837774e+00, 2.667450671815e+01, 2.021535009439e-01, 4.496148362142e-03, 1.372734520000e-01, 9.110000000000e-01
 4.802598539244e-01, 2.811398837701e+00, 2.666151000439e+01, 2.014105102458e-01, 4.487878231924e-03, 1.410097500000e-01, 9.080000000000e-01
 4.802598539218e-01, 2.811398837700e+00, 2.668757078932e+01, 2.091332094993e-01, 4.573108455955e-03, 1.405422500000e-01, 9.123000000000e-01
 4.802598539218e-01, 2.811398837700e+00, 2.673310262649e+01, 2.277231917247e-01, 4.772035118528e-03, 1.361757520000e-01, 9.120000000000e-01
 4.802598539218e-01, 2.811398837700e+00, 2.670575034241e+01, 3.588616678367e-01, 5.990506387917e-03, 1.360428510000e-01, 9.123000000000e-01
 4.802598539218e-01, 2.811398837700e+00, 2.666842900819e+01, 2.070788060672e-01, 4.550591237050e-03, 1.354949510000e-01, 9.133000000000e-01
