#              p[0],               p[1],               p[2],             energy,           variance,              error,-(ℏ/4m)⟨∇ᵢ²ln(ψ)⟩,(ℏ/2m)⟨|∇ᵢln(ψ)|²⟩,       elapsed time,      accept. ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 2.689441547265e-01, 1.716211421061e+00, 1.310042526432e-03, 4.794925365294e-01, 4.247481025105e-01, 3.128976184000e+00, 8.078460000000e-01,            1000000
 3.975376181456e+00, 2.000000000000e+00, 5.000000000000e+00,-9.002832532487e+02, 5.329484242268e+05, 7.300331665252e-01, 4.708463149051e+01, 9.910006933342e+02, 3.420023970000e+00, 1.417740000000e-01,            1000000
 3.999998831643e+00, 1.000020164124e+00, 5.000000000000e+00, 2.458466641772e-01, 1.313966054106e+00, 1.146283583633e-03, 4.741070866626e-01, 4.117334744715e-01, 3.765528051000e+00, 8.076830000000e-01,            1000000
 3.983372299862e+00, 1.675260091405e+00, 5.000000000000e+00,-2.099043112221e+02, 3.495529594585e+04, 1.869633545534e-01, 2.302879904638e+01, 2.521394047713e+02, 3.063159817000e+00, 1.825130000000e-01,            1000000
 3.977730288832e+00, 1.904394535554e+00, 5.000000000000e+00,-1.498555757757e+03, 5.116683845488e+05, 7.153099919257e-01, 6.907588519189e+01, 1.629764844194e+03, 2.883720200000e+00, 0.000000000000e+00,            1000000
 3.996575328362e+00, 1.588896834608e+00, 5.000000000000e+00,-7.518132439832e+01, 5.789642795008e+03, 7.608970229281e-02, 8.760333638303e+00, 9.175430145024e+01, 3.068435140000e+00, 5.090420000000e-01,            1000000
 3.982987520718e+00, 1.816379619443e+00, 5.000000000000e+00,-9.876784538688e+02, 8.539468674379e+04, 2.922236929884e-01, 6.246771385914e+01, 1.106719696021e+03, 3.024303361000e+00, 2.219700000000e-02,            1000000
 3.979059031129e+00, 1.882149151610e+00, 5.000000000000e+00,-1.023821149956e+03, 2.053755366703e+05, 4.531837780309e-01, 5.325378022226e+01, 1.125468246977e+03, 2.728153203000e+00, 5.986100000000e-02,            1000000
 3.977945653139e+00, 1.900788974336e+00, 5.000000000000e+00,-1.053210036040e+03, 3.198591652423e+05, 5.655609297346e-01, 6.158221109900e+01, 1.170846571015e+03, 2.613316663000e+00, 5.869500000000e-02,            1000000
 3.977741925068e+00, 1.904199725372e+00, 5.000000000000e+00,-1.379801066871e+03, 1.293815923625e+05, 3.596965281490e-01, 6.861194068219e+01, 1.511336018308e+03, 2.654231158000e+00, 5.899800000000e-02,            1000000
 3.977730447765e+00, 1.904391874740e+00, 5.000000000000e+00,-9.716401187148e+02, 3.236097078820e+05, 5.688670388430e-01, 4.832549331150e+01, 1.063295558617e+03, 2.636851241000e+00, 5.349500000000e-02,            1000000
 3.976751584583e+00, 0.000000000000e+00, 5.000000000000e+00, 1.215317879364e+20, 3.677529962561e+45, 6.064264145435e+19, 2.263153684251e-01, 2.263666673300e-01, 2.571533847000e+00, 9.555150000000e-01,            1000000
 3.977240936707e+00, 9.521972677770e-01, 5.000000000000e+00, 3.784523141184e-01, 5.105368057558e+00, 2.062637481793e-03, 4.713468338649e-01, 4.057540951198e-01, 3.793311788000e+00, 8.141950000000e-01,            1200000
 3.977576438813e+00, 1.605028168407e+00, 5.000000000000e+00,-9.333421397042e+01, 4.106851863789e+03, 5.850108164092e-02, 1.397604854031e+01, 1.184852239084e+02, 3.618876877000e+00, 3.076558333333e-01,            1200000
 3.977687584647e+00, 1.821299345245e+00, 5.000000000000e+00,-3.034374345521e+02, 1.999919125989e+04, 1.290968346497e-01, 2.826062304755e+01, 3.559970380335e+02, 3.366931061000e+00, 1.129225000000e-01,            1200000
 3.977721459969e+00, 1.887215046232e+00, 5.000000000000e+00,-5.283132531101e+02, 6.385915410891e+04, 2.306858507959e-01, 3.951030702424e+01, 6.025251673413e+02, 3.546236143000e+00, 3.031166666667e-02,            1200000
 3.977729387922e+00, 1.902641515209e+00, 5.000000000000e+00,-1.224488232775e+03, 5.316705418648e+05, 6.656266107116e-01, 6.466580501829e+01, 1.347579860998e+03, 3.828955787000e+00, 2.967916666667e-02,            1200000
 3.977730249790e+00, 1.904318565749e+00, 5.000000000000e+00,-8.639130606502e+02, 8.503193390851e+04, 2.661953134895e-01, 5.367186761804e+01, 9.653330038421e+02, 3.211059823000e+00, 0.000000000000e+00,            1200000
 3.977730288442e+00, 1.904393775856e+00, 5.000000000000e+00,-1.012157982071e+03, 1.137009767642e+05, 3.078162016044e-01, 5.926395485575e+01, 1.125787162841e+03, 3.193055880000e+00, 5.907000000000e-02,            1200000
 3.977730288828e+00, 1.904394527957e+00, 5.000000000000e+00,-8.741333103261e+02, 3.713085425858e+05, 5.562587396960e-01, 5.326228563846e+01, 9.757944261854e+02, 3.308679541000e+00, 5.756250000000e-02,            1200000
 3.977730288832e+00, 1.904394535478e+00, 5.000000000000e+00,-1.126943380254e+03, 1.969520290371e+05, 4.051255248244e-01, 6.106034549676e+01, 1.242603643355e+03, 3.756706358000e+00, 0.000000000000e+00,            1200000
