#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 2.000000000000e+00, 1.000000000000e+01, 5.000000000000e+00,-2.093446388143e+08, 4.171190080571e+16, 2.042349157360e+06, 6.524041900000e-02, 0.000000000000e+00
 2.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 8.150506873486e+12, 3.305556153549e+28, 1.818118850226e+12, 4.559364300000e-02, 9.935000000000e-01
 2.000000000000e+00, 7.749486926563e+00, 5.000000000000e+00,-7.527212395116e+07, 1.403921127802e+16, 1.184871776946e+06, 5.482840700000e-02, 6.950000000000e-02
 2.000000000000e+00, 9.356996472145e+00, 5.000000000000e+00,-3.295482824278e+09, 3.174548763745e+19, 5.634313413136e+07, 6.218463200000e-02, 9.120000000000e-02
 2.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 4.711587142508e+13, 4.385578162796e+30, 2.094177204249e+13, 4.427952100000e-02, 9.906000000000e-01
 2.000000000000e+00, 4.971654708003e+00, 5.000000000000e+00,-4.997194231502e+05, 7.338806195074e+11, 8.566683252621e+03, 5.472102600000e-02, 6.178000000000e-01
 2.000000000000e+00, 7.895248933703e+00, 5.000000000000e+00,-3.667504527807e+10, 3.853767449290e+21, 6.207871977812e+08, 9.833724700000e-02, 1.897000000000e-01
 2.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 9.728131648502e+12, 2.086055123252e+28, 1.444318220910e+12, 3.922821900000e-02, 9.916000000000e-01
 2.000000000000e+00, 3.950088188244e+00, 5.000000000000e+00,-1.675109536316e+08, 3.035339445728e+16, 1.742222559184e+06, 4.897282300000e-02, 3.564000000000e-01
 2.000000000000e+00, 6.580402231479e+00, 5.000000000000e+00,-7.352004917187e+08, 1.569450658074e+18, 1.252777178142e+07, 4.553602200000e-02, 1.167000000000e-01
 2.000000000000e+00, 7.457771813580e+00, 5.000000000000e+00,-3.743810172581e+07, 4.137251104175e+15, 6.432146690006e+05, 4.715172200000e-02, 2.109000000000e-01
 2.000000000000e+00, 7.749440208794e+00, 5.000000000000e+00,-3.582634908664e+08, 3.774348930187e+17, 6.143573007776e+06, 4.627382200000e-02, 0.000000000000e+00
 2.000000000000e+00, 7.846693228122e+00, 5.000000000000e+00,-3.381751686642e+07, 1.151609838669e+15, 3.393537739100e+05, 4.588932200000e-02, 0.000000000000e+00
 2.000000000000e+00, 7.879076234923e+00, 5.000000000000e+00,-1.230274021667e+11, 2.645107697033e+22, 1.626378706524e+09, 4.907482300000e-02, 0.000000000000e+00
 2.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 1.789164087018e+16, 5.330218804102e+35, 7.300834749603e+15, 4.320362000000e-02, 9.903000000000e-01
 2.000000000000e+00, 4.890301365309e+00, 5.000000000000e+00,-3.733427889477e+05, 4.131125758179e+11, 6.427383416429e+03, 5.221672300000e-02, 6.819000000000e-01
 2.000000000000e+00, 6.882829447847e+00, 5.000000000000e+00,-8.333531759073e+06, 1.945390240708e+14, 1.394772469153e+05, 4.625392100000e-02, 4.198000000000e-01
 2.000000000000e+00, 7.547005783923e+00, 5.000000000000e+00,-1.441739613068e+09, 6.217385948460e+18, 2.493468658006e+07, 4.523792000000e-02, 0.000000000000e+00
 2.000000000000e+00, 7.768585410652e+00, 5.000000000000e+00,-3.086486144289e+12, 2.857313646371e+25, 5.345384594555e+10, 4.563302000000e-02, 1.205000000000e-01
 2.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 4.069966119917e+12, 1.864182583189e+28, 1.365350718017e+12, 4.128691800000e-02, 9.928000000000e-01
 2.000000000000e+00, 3.884295553142e+00, 5.000000000000e+00,-4.993302999080e+07, 7.377462770498e+15, 8.589215779394e+05, 4.847212100000e-02, 3.397000000000e-01
 2.000000000000e+00, 6.473823859849e+00, 5.000000000000e+00,-8.660783545300e+10, 2.165717612756e+22, 1.471637731494e+09, 4.746182100000e-02, 1.351000000000e-01
 2.000000000000e+00, 7.338174046921e+00, 5.000000000000e+00,-8.652875921568e+07, 4.118581343960e+15, 6.417617427021e+05, 4.506782000000e-02, 0.000000000000e+00
 2.000000000000e+00, 7.625116598102e+00, 5.000000000000e+00,-5.257987941179e+17, 8.293927472519e+35, 9.107100236914e+15, 4.747692100000e-02, 0.000000000000e+00
 2.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 9.741240539022e+12, 1.245273163497e+29, 3.528842818116e+12, 4.230611800000e-02, 9.919000000000e-01
