#              p[0],               p[1],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e-01, 2.750000000000e+00, 5.123570762700e-01, 2.548335363473e-02, 1.596350639262e-04, 9.503530200000e-02, 9.906810000000e-01
 6.831483718790e-01, 2.750000000000e+00,               -nan,               -nan,               -nan, 1.831167254000e+00, 7.341900000000e-01
 5.415741859395e-01, 2.750000000000e+00, 5.011805068538e-01, 3.252629918616e-03, 5.703183250270e-05, 1.022415880000e-01, 9.851710000000e-01
 5.119068991319e-01, 2.750003038715e+00, 5.001072894204e-01, 2.783422003557e-04, 1.668359075126e-05, 9.744209300000e-02, 9.866110000000e-01
 4.987214832945e-01, 2.750002649669e+00,               -nan,               -nan,               -nan, 1.812475069000e+00, 7.402300000000e-01
 5.053141912132e-01, 2.750002844192e+00, 5.000294276815e-01, 5.591748961710e-05, 7.477799784502e-06, 9.580983400000e-02, 9.866970000000e-01
 4.998608488271e-01, 2.750004158241e+00, 5.000006671482e-01, 3.882045401977e-08, 1.970290689715e-07, 1.061762380000e-01, 9.869050000000e-01
 5.000024851017e-01, 2.750004131221e+00,               -nan,               -nan,               -nan, 1.816650080000e+00, 7.400450000000e-01
 4.999316669644e-01, 2.750004144731e+00, 4.999999282797e-01, 9.336293368271e-09, 9.662449672972e-08, 9.947992900000e-02, 9.869110000000e-01
 4.999997149977e-01, 2.750004147582e+00, 5.000000007491e-01, 1.619809782044e-13, 4.024686052407e-10, 9.662622800000e-02, 9.868930000000e-01
 4.999330339989e-01, 2.750004144788e+00,               -nan,               -nan,               -nan, 1.812280880000e+00, 7.400740000000e-01
 4.999323504816e-01, 2.750004144760e+00, 5.000002596031e-01, 9.243194706383e-09, 9.614153476195e-08, 9.328780200000e-02, 9.870180000000e-01
 4.999316737996e-01, 2.750004144731e+00, 4.999996254381e-01, 9.172614592357e-09, 9.577376776736e-08, 9.463690000000e-02, 9.870670000000e-01
 4.999320338057e-01, 2.750004140449e+00,               -nan,               -nan,               -nan, 1.817027716000e+00, 7.400810000000e-01
 4.999318538027e-01, 2.750004142590e+00, 4.999996594208e-01, 9.215083498196e-09, 9.599522643442e-08, 9.995488900000e-02, 9.870540000000e-01
 4.999316755996e-01, 2.750004144710e+00, 4.999999356544e-01, 9.306777982390e-09, 9.647164341085e-08, 9.620319300000e-02, 9.868860000000e-01
 4.999316738176e-01, 2.750004144731e+00,               -nan,               -nan,               -nan, 1.816727899000e+00, 7.403620000000e-01
 4.999316738086e-01, 2.750004144731e+00, 5.000000811558e-01, 9.364330053189e-09, 9.676946860032e-08, 9.934152900000e-02, 9.869220000000e-01
 4.999316737997e-01, 2.750004144731e+00, 5.000001045095e-01, 9.366045286148e-09, 9.677833066419e-08, 9.219620500000e-02, 9.869860000000e-01
 4.999316737996e-01, 2.750004144731e+00,               -nan,               -nan,               -nan, 1.813262796000e+00, 7.402430000000e-01
 5.000657522111e-01, 2.750004112743e+00, 4.999998715079e-01, 8.618435608417e-09, 9.283552988170e-08, 1.043719090000e-01, 9.869680000000e-01
 4.999332856055e-01, 2.750004144347e+00, 4.999998545971e-01, 8.880579029891e-09, 9.423682417129e-08, 9.769371500000e-02, 9.870480000000e-01
 4.999316899177e-01, 2.750004144728e+00,               -nan,               -nan,               -nan, 1.816946232000e+00, 7.400830000000e-01
 4.999316818586e-01, 2.750004144730e+00, 5.000001266404e-01, 9.420451368352e-09, 9.705900972271e-08, 9.461351200000e-02, 9.867920000000e-01
 4.999316738802e-01, 2.750004144731e+00, 5.000001015277e-01, 9.371811177659e-09, 9.680811524691e-08, 9.131041400000e-02, 9.867990000000e-01
 4.999316738004e-01, 2.750004144731e+00,               -nan,               -nan,               -nan, 1.812529635000e+00, 7.402200000000e-01
 4.999316738000e-01, 2.750004144731e+00, 5.000002363000e-01, 9.433521026424e-09, 9.712631479895e-08, 9.334200800000e-02, 9.871160000000e-01
 4.999316737996e-01, 2.750004144731e+00, 5.000000870517e-01, 9.392788518461e-09, 9.691639963629e-08, 9.226900700000e-02, 9.869820000000e-01
 4.999316737996e-01, 2.750004144731e+00,               -nan,               -nan,               -nan, 1.823967898000e+00, 7.401470000000e-01
 4.999316737996e-01, 2.750004144731e+00, 4.999999799156e-01, 9.374242589582e-09, 9.682067232561e-08, 9.469746800000e-02, 9.871190000000e-01
 4.999316737996e-01, 2.750004144731e+00, 4.999998296266e-01, 9.328711836017e-09, 9.658525682534e-08, 9.138786000000e-02, 9.868670000000e-01
