#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,   acceptance ratio,  Monte Carlo steps 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 1.420964174043e-01, 2.547372122267e-01, 5.047149811791e-04, 3.531197660000e-01, 9.534520000000e-01            1000000
 3.999841526522e+00, 1.180631702610e+00, 5.000000000000e+00, 1.363465497078e-01, 9.726060015274e-03, 9.862078896092e-05, 3.583871640000e-01, 9.491790000000e-01            1000000
 3.996945265642e+00, 1.140730733303e+00, 5.000000000000e+00, 1.343165178521e-01, 2.341665919326e-03, 4.839076274793e-05, 3.665254630000e-01, 9.500460000000e-01            1000000
 3.983233604697e+00, 1.079750119961e+00, 5.000000000000e+00, 1.321984682036e-01, 9.099561978939e-03, 9.539162425988e-05, 3.759213620000e-01, 9.510760000000e-01            1000000
 3.977459290354e+00, 1.089794482106e+00, 5.000000000000e+00, 1.322298762684e-01, 4.559567327269e-03, 6.752456832346e-05, 3.515107640000e-01, 9.509950000000e-01            1000000
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.320492747676e-01, 7.482057758916e-03, 7.896232096659e-05, 4.899922490000e-01, 9.515416666667e-01            1200000
 3.972199734563e+00, 1.085083572925e+00, 5.000000000000e+00, 1.366001502817e-01, 3.578685284028e-02, 1.576451113707e-04, 6.327472320000e-01, 9.503194444444e-01            1440000
 3.981870746559e+00, 1.081982199545e+00, 5.000000000000e+00, 1.334025476258e-01, 1.416737882144e-02, 9.918899896100e-05, 6.238453330000e-01, 9.510041666667e-01            1440000
 3.981967456679e+00, 1.081951185811e+00, 5.000000000000e+00, 1.321800474635e-01, 7.848589638221e-03, 7.382688853654e-05, 7.412895180000e-01, 9.513506944444e-01            1440000
 3.981968423781e+00, 1.081950875674e+00, 5.000000000000e+00, 1.324002642492e-01, 8.170553527135e-03, 7.532592850377e-05, 4.900791450000e-01, 9.515562500000e-01            1440000
 3.981968433452e+00, 1.081950872572e+00, 5.000000000000e+00, 1.332956118367e-01, 1.483434283470e-02, 9.265359755807e-05, 5.719608380000e-01, 9.509953703704e-01            1728000
 3.981968433548e+00, 1.081950872541e+00, 5.000000000000e+00, 1.321376048285e-01, 7.022837611986e-03, 6.375062459746e-05, 5.800074370000e-01, 9.519432870370e-01            1728000
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.320728690807e-01, 8.110891957678e-03, 6.851133640682e-05, 5.742104370000e-01, 9.515734953704e-01            1728000
 3.976993880241e+00, 1.085007553930e+00, 5.000000000000e+00, 1.324630069067e-01, 7.479928595579e-03, 6.006012530304e-05, 7.037101210000e-01, 9.512196180556e-01            2073600
 3.981904644092e+00, 1.081990068834e+00, 5.000000000000e+00, 1.320866806097e-01, 6.986376835363e-03, 5.298743398003e-05, 8.228788050000e-01, 9.515508455504e-01            2488320
