#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 1.000000000000e+00, 0.000000000000e+00, 5.000000000000e+00, 1.856563845797e+00, 3.939577319958e-01, 6.276605228910e-03, 5.019595000000e-03, 9.743000000000e-01
 1.000000000000e-02, 0.000000000000e+00, 5.000000000000e+00,-2.592406116250e+03, 4.254124297755e+05, 6.522364830148e+00, 4.793495000000e-03, 0.000000000000e+00
 9.999996945223e-01, 0.000000000000e+00, 5.000000000000e+00, 1.882809220777e+00, 4.457614512200e-01, 6.676536910854e-03, 6.584294000000e-03, 9.719000000000e-01
 3.394927487551e-01, 0.000000000000e+00, 5.000000000000e+00, 1.625122394726e+00, 1.184714004737e-01, 3.441967467506e-03, 5.966394000000e-03, 8.681000000000e-01
 1.193252891293e-01, 0.000000000000e+00, 5.000000000000e+00, 3.288172062529e+00, 2.954558648733e+00, 1.718882965397e-02, 5.565894000000e-03, 4.412000000000e-01
 4.594036019565e-02, 0.000000000000e+00, 5.000000000000e+00,-7.101057069059e+01, 9.429563409358e+02, 3.070759418997e-01, 5.639995000000e-03, 1.210000000000e-02
 2.149336833102e-02, 0.000000000000e+00, 5.000000000000e+00,-4.523450692038e+02, 3.165571421005e+04, 1.779205277927e+00, 6.691293000000e-03, 0.000000000000e+00
 1.333458113536e-02, 0.000000000000e+00, 5.000000000000e+00,-1.720441498389e+03, 1.084965177408e+05, 3.293880959306e+00, 7.151093000000e-03, 0.000000000000e+00
 1.085886245650e-02, 0.000000000000e+00, 5.000000000000e+00,-1.682606802734e+03, 1.677760797097e+05, 4.096047847739e+00, 7.373993000000e-03, 0.000000000000e+00
 1.015421331708e-02, 0.000000000000e+00, 5.000000000000e+00,-2.229673758134e+03, 1.200868534532e+05, 3.465355009999e+00, 1.196788800000e-02, 0.000000000000e+00
 1.000000000000e+02, 0.000000000000e+00, 5.000000000000e+00, 1.818530154420e+02, 1.251979594020e+04, 1.118918939879e+00, 1.099378800000e-02, 1.000000000000e+00
 3.333946903751e+01, 0.000000000000e+00, 5.000000000000e+00, 4.096201753208e+01, 6.663241008799e+02, 2.581325436437e-01, 8.470991000000e-03, 9.998000000000e-01
 1.111930935312e+01, 0.000000000000e+00, 5.000000000000e+00, 1.761691953322e+01, 1.024128588259e+02, 1.011992385475e-01, 5.822694000000e-03, 9.997000000000e-01
 3.712593022236e+00, 0.000000000000e+00, 5.000000000000e+00, 5.585133738817e+00, 9.525677338919e+00, 3.086369605041e-02, 7.693192000000e-03, 9.975000000000e-01
 1.243689426051e+00, 0.000000000000e+00, 5.000000000000e+00, 2.146967669739e+00, 8.474077802570e-01, 9.205475437244e-03, 4.902095000000e-03, 9.809000000000e-01
 4.207224749412e-01, 0.000000000000e+00, 5.000000000000e+00, 1.520301744880e+00, 2.198312384010e-02, 1.482670693044e-03, 6.976493000000e-03, 9.060000000000e-01
 1.464014402883e-01, 0.000000000000e+00, 5.000000000000e+00, 2.777080642794e+00, 1.709305706037e+00, 1.307404186179e-02, 5.576594000000e-03, 5.680000000000e-01
 5.496450247626e-02, 0.000000000000e+00, 5.000000000000e+00, 6.832623121929e+00, 1.501876896441e+01, 3.875405651594e-02, 6.586693000000e-03, 7.340000000000e-02
 2.449567132704e-02, 0.000000000000e+00, 5.000000000000e+00,-2.835187181474e+02, 5.346222944351e+03, 7.311787021208e-01, 4.543995000000e-03, 7.000000000000e-04
 1.439208157112e-02, 0.000000000000e+00, 5.000000000000e+00,-1.009663963904e+03, 1.072299726464e+05, 3.274598794454e+00, 4.190396000000e-03, 0.000000000000e+00
 1.108261731757e-02, 0.000000000000e+00, 5.000000000000e+00,-2.092156986872e+03, 6.975713479054e+04, 2.641157602086e+00, 4.286496000000e-03, 0.000000000000e+00
