#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e+00, 1.000000000000e+00, 5.000000000000e+00, 1.354942822219e-01, 1.084423540201e-01, 3.293058669689e-04, 3.309157110000e-01, 9.541470000000e-01
 3.996751490462e+00, 1.096047221971e+00, 5.000000000000e+00, 1.332577858043e-01, 6.604450673351e-03, 8.126777143093e-05, 4.100919610000e-01, 9.510540000000e-01
 3.991253144630e+00, 1.101214964253e+00, 5.000000000000e+00, 1.330843156803e-01, 4.133562626137e-03, 6.429278829027e-05, 3.937475500000e-01, 9.506090000000e-01
 3.981401649326e+00, 1.102310378854e+00, 5.000000000000e+00, 1.326701738107e-01, 2.809266498014e-03, 4.838445427006e-05, 4.758554010000e-01, 9.507850000000e-01
 3.980416499796e+00, 1.102419920314e+00, 5.000000000000e+00, 1.325360918048e-01, 2.805263739929e-03, 4.834997190562e-05, 5.055520700000e-01, 9.503025000000e-01
 3.979332835313e+00, 1.102540415920e+00, 5.000000000000e+00, 1.326081546124e-01, 2.836401710225e-03, 4.438156610439e-05, 4.832439260000e-01, 9.506902777778e-01
 3.452627828725e+00, 1.161106180486e+00, 5.000000000000e+00, 1.340721021092e-01, 5.207234912799e-03, 5.489486433258e-05, 5.820185110000e-01, 9.374160879630e-01
 3.871512055048e+00, 1.114529302210e+00, 5.000000000000e+00, 1.326591517930e-01, 1.770467706093e-03, 3.200900215258e-05, 7.004884900000e-01, 9.489496527778e-01
 3.684900308018e+00, 1.120712652424e+00, 5.000000000000e+00, 1.322996434081e-01, 1.649835852240e-03, 3.089928993027e-05, 8.255587670000e-01, 9.445954861111e-01
 3.481854410484e+00, 1.114606608863e+00, 5.000000000000e+00, 1.318495129708e-01, 2.098942330120e-03, 3.485205446313e-05, 8.271770800000e-01, 9.397679398148e-01
 3.438637685087e+00, 1.103284534528e+00, 5.000000000000e+00, 1.311337871416e-01, 3.014297752430e-03, 4.176583859324e-05, 7.361602840000e-01, 9.399351851852e-01
 3.407593458934e+00, 1.084818913882e+00, 5.000000000000e+00, 1.313435369664e-01, 1.428339064087e-02, 9.091672599317e-05, 7.145544700000e-01, 9.393686342593e-01
 3.433795464287e+00, 1.100404301278e+00, 5.000000000000e+00, 1.315900625743e-01, 4.371592784788e-03, 4.591529280136e-05, 8.845328540000e-01, 9.396788194444e-01
 3.438589262879e+00, 1.103255732196e+00, 5.000000000000e+00, 1.329724263929e-01, 9.947172953872e-03, 6.322614740066e-05, 1.253830637000e+00, 9.390034239969e-01
 3.438637200865e+00, 1.103284246505e+00, 5.000000000000e+00, 1.322983802449e-01, 6.423525107994e-03, 5.080817526922e-05, 1.415201895000e+00, 9.394434799383e-01
 3.438637680245e+00, 1.103284531648e+00, 5.000000000000e+00, 1.318339734636e-01, 5.089943499169e-03, 4.522758157526e-05, 1.216186763000e+00, 9.390363779578e-01
 3.438637685039e+00, 1.103284534499e+00, 5.000000000000e+00, 1.313431571197e-01, 3.313590579337e-03, 3.649188590195e-05, 9.728338850000e-01, 9.394760320216e-01
 3.438637685087e+00, 1.103284534528e+00, 5.000000000000e+00, 1.372758645851e-01, 3.022403806833e-02, 1.102105395842e-04, 1.020813621000e+00, 9.383945794753e-01
 3.438594581052e+00, 1.094697532213e+00, 5.000000000000e+00, 1.312328270241e-01, 6.654062497842e-03, 5.171187949280e-05, 1.125111025000e+00, 9.393791795267e-01
 3.438633427437e+00, 1.102436343679e+00, 5.000000000000e+00, 1.308262081635e-01, 2.773880214908e-03, 3.338802548567e-05, 1.080055622000e+00, 9.396729520319e-01
 3.438462123570e+00, 1.092024204563e+00, 5.000000000000e+00, 1.315002226585e-01, 7.794972820012e-03, 5.596985573361e-05, 9.517753270000e-01, 9.397702064043e-01
 3.438628993233e+00, 1.102166825229e+00, 5.000000000000e+00, 1.318253026247e-01, 6.043508255015e-03, 4.928235408325e-05, 9.598751210000e-01, 9.395471643519e-01
 3.438633383095e+00, 1.102433648494e+00, 5.000000000000e+00, 1.310670996462e-01, 3.085806007767e-03, 3.214700901218e-05, 1.334756983000e+00, 9.392026213134e-01
 3.438633426994e+00, 1.102436316727e+00, 5.000000000000e+00, 1.339445349028e-01, 1.600660594220e-02, 7.321598147646e-05, 1.288007179000e+00, 9.390582802855e-01
 3.438633427433e+00, 1.102436343409e+00, 5.000000000000e+00, 1.313038991396e-01, 3.776489561359e-03, 3.556316511580e-05, 1.538240824000e+00, 9.393151470336e-01
 3.438633427437e+00, 1.102436343676e+00, 5.000000000000e+00, 1.386184450502e-01, 4.608419777817e-02, 1.242316569673e-04, 2.055666287000e+00, 9.385907627100e-01
 3.438633427437e+00, 1.102436343679e+00, 5.000000000000e+00, 1.320338388693e-01, 5.443961181859e-03, 4.269861338417e-05, 1.486066814000e+00, 9.392190313143e-01
 3.438633427437e+00, 1.102436343679e+00, 5.000000000000e+00, 1.315463002407e-01, 4.465186084990e-03, 3.867016660637e-05, 1.079470503000e+00, 9.396845395019e-01
 3.438633427437e+00, 1.102436343679e+00, 5.000000000000e+00, 1.313582514235e-01, 3.720387376829e-03, 3.529801984485e-05, 9.667825970000e-01, 9.395251280650e-01
 3.438633427437e+00, 1.102436343679e+00, 5.000000000000e+00, 1.312499635610e-01, 3.506193444369e-03, 3.128121577629e-05, 1.271926390000e+00, 9.399025446670e-01
 3.438633427437e+00, 1.102436343679e+00, 5.000000000000e+00, 1.313816083345e-01, 3.710162274234e-03, 2.937456992841e-05, 1.475725204000e+00, 9.392680989140e-01
