#              p[0],               p[1],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e-01, 2.750000000000e+00, 5.128166161080e-01, 2.518212208732e-02, 1.586887585411e-04, 9.965972400000e-02, 9.906920000000e-01
 6.798013545698e-01, 2.750000000000e+00,               -nan,               -nan,               -nan, 1.830770070000e+00, 7.344140000000e-01
 5.399006772849e-01, 2.750000000000e+00, 5.014459660020e-01, 2.963119060042e-03, 5.443453921953e-05, 9.326552400000e-02, 9.852950000000e-01
 5.114642896679e-01, 2.750001931048e+00, 5.001422530843e-01, 2.557919548939e-04, 1.599349726901e-05, 9.470362300000e-02, 9.865160000000e-01
 4.987606162749e-01, 2.750003875547e+00,               -nan,               -nan,               -nan, 1.812770485000e+00, 7.401730000000e-01
 5.051124529714e-01, 2.750002903298e+00, 5.000391535704e-01, 5.156235296753e-05, 7.180693070138e-06, 9.293706500000e-02, 9.864760000000e-01
 4.998011410304e-01, 2.750001692301e+00, 5.000006091249e-01, 7.955535242031e-08, 2.820555839197e-07, 9.456366900000e-02, 9.868520000000e-01
 5.000046593107e-01, 2.750001709943e+00,               -nan,               -nan,               -nan, 1.816886450000e+00, 7.402270000000e-01
 4.999029001705e-01, 2.750001701122e+00, 5.000002006771e-01, 1.899417653919e-08, 1.378193619895e-07, 9.552263700000e-02, 9.870020000000e-01
 5.000002348626e-01, 2.750001707852e+00, 4.999999998109e-01, 1.080246645526e-13, 3.286710582826e-10, 9.740053600000e-02, 9.868790000000e-01
 5.000000023795e-01, 2.750001707759e+00,               -nan,               -nan,               -nan, 1.832256442000e+00, 7.402310000000e-01
 5.000001186210e-01, 2.750001707805e+00, 5.000000005208e-01, 3.436113138984e-14, 1.853675575440e-10, 9.603783200000e-02, 9.868350000000e-01
 5.000002337002e-01, 2.750001707852e+00, 5.000000000587e-01, 1.091904310271e-13, 3.304397540054e-10, 9.244033400000e-02, 9.870270000000e-01
 5.000002348510e-01, 2.750001707852e+00,               -nan,               -nan,               -nan, 1.808954160000e+00, 7.400660000000e-01
 5.000002348568e-01, 2.750001707852e+00, 4.999999996418e-01, 1.107168628086e-13, 3.327414353647e-10, 9.817592500000e-02, 9.868780000000e-01
 4.999997649804e-01, 2.750001707737e+00, 5.000000001133e-01, 1.100230889001e-13, 3.316972850357e-10, 9.472402700000e-02, 9.869520000000e-01
 5.000002301580e-01, 2.750001707851e+00,               -nan,               -nan,               -nan, 1.913350930000e+00, 7.402330000000e-01
 5.000002325074e-01, 2.750001707852e+00, 5.000000001838e-01, 1.052491089340e-13, 3.244211906364e-10, 1.109798910000e-01, 9.869960000000e-01
 5.000002348333e-01, 2.750001707852e+00, 5.000000000735e-01, 1.089128733138e-13, 3.300195044445e-10, 9.487767700000e-02, 9.868750000000e-01
 5.000002348565e-01, 2.750001707852e+00,               -nan,               -nan,               -nan, 1.832026237000e+00, 7.401720000000e-01
 5.000002348566e-01, 2.750001707852e+00, 4.999999997613e-01, 1.099397780423e-13, 3.315716785889e-10, 9.677997400000e-02, 9.868630000000e-01
 5.000002348568e-01, 2.750001707852e+00, 4.999999989061e-01, 1.134358408180e-13, 3.368023765029e-10, 1.304069000000e-01, 9.870280000000e-01
